"title","description"
"Escribir un guión de largometraje para cine o televisión","Escribir un guión de largometraje completo En este curso, escribirás un guión completo de largometraje para cine o televisión, ya sea un drama serio, una comedia romántica o cualquier otra cosa. Aprenderás a dividir el proceso creativo en componentes y descubrirás un proceso estructurado que te permitirá producir un guión pulido y listo para presentar al final del curso. Completar este proyecto aumentará tu confianza en tus ideas y habilidades, y te sentirás preparado para presentar tu primer guión y comenzar con el siguiente. Este es un curso diseñado para aprovechar tu creatividad y se basa en el ""aprendizaje activo"". La mayor parte del aprendizaje real se lleva a cabo dentro de tus propias actividades, es decir, ¡escribiendo! Aprenderás haciendo. Aquí tienes un enlace a un TRÁILER del curso. Para ver el tráiler, copia y pega el enlace en tu navegador. Español: https://vimeo.com/382067900/b78b800dc0 Opinión del alumno: ""Me encanta el enfoque que el profesor Wheeler adopta en este curso. ¡Es directo, fácil de seguir y muy informativo! ¡Sin duda se lo recomendaría a cualquiera que esté interesado en realizar un curso de escritura de guiones! El plan de estudios del curso es sencillo: adoptaremos un proceso de sala de escritores profesionales en el que escribirás, publicarás tu trabajo para revisión por pares, compartirás comentarios con tus compañeros y revisarás tu trabajo con los comentarios que recibas de tus compañeros. Así es como lo hacemos en el mundo real. Te sentirás como si estuvieras en una sala de escritores profesionales, pero no se requiere experiencia previa como escritor. Soy un defensor del aprendizaje experiencial (aprendizaje activo). Mis conferencias son breves (a veces de solo dos minutos) y directas, diseñadas en un proceso paso a paso esencial para tu éxito como guionista. Te guiaré, pero no te ""mostraré"" cómo escribir. Creo firmemente que la única manera de convertirse en escritor es escribir, escribir y escribir. Opinión del alumno: ""Quiero agradecer al instructor de este curso. Es un curso increíble"". Lo que necesitará para comenzar: como se mencionó anteriormente, no se requiere experiencia previa en escritura de guiones. Para comenzar, cualquier procesador de texto básico servirá. Durante la segunda semana, puede optar por descargar algún software de escritura de guiones gratuito como Celtx o Trelby o puede optar por comprar Final Draft, el estándar de la industria, o puede continuar usando su procesador de texto y hacer su propio formato de guion. Opinión del alumno: ""¡Ahora soy un escritor!"" Si tiene alguna inquietud con respecto a la protección de su trabajo original, la política de privacidad de Coursera protege la propiedad intelectual del alumno y usted es, de hecho, el único propietario de su trabajo."
"Estrategia de negocios: Análisis del modelo de negocio Canvas con Miro","Al finalizar este proyecto guiado, podrá identificar y crear soluciones de Business Model Canvas basadas en análisis de alto nivel y datos de investigación previos. Esto le permitirá identificar y mapear los elementos necesarios para nuevos productos y servicios. Además, es esencial para generar resultados positivos para su emprendimiento comercial. Este proyecto guiado está diseñado para involucrar y aprovechar sus habilidades visionarias y exploratorias. Utilizará modelos probados en estrategia y desarrollo de productos con la plataforma Miro para explorar y analizar sus propuestas comerciales. Practicaremos el examen crítico de los resultados de análisis e investigaciones anteriores para derivar los valores de cada una de las secciones del modelo comercial."
"Células solares de película fina de silicio","Este curso consiste en una presentación general de las células solares basadas en películas delgadas de silicio. Es el tercer MOOC de la serie fotovoltaica de la Escuela Politécnica en Coursera. Los aspectos generales del campo fotovoltaico se tratan en ""Energía solar fotovoltaica"". Y la descripción detallada de las células solares de silicio cristalino se puede encontrar en ""Física de las células solares de silicio"". Después de una breve presentación del funcionamiento de las células solares, se describen aquí los semiconductores de película delgada. Las propiedades generales de los semiconductores desordenados y cristalinos son muy diferentes, en particular en términos de estructura de banda y mecanismos de dopaje. Las películas delgadas de silicio, generalmente de menos de 1 ÔøΩm de espesor, se depositan a partir de plasma de silano que conduce a la incorporación de hidrógeno. Se discuten los mecanismos de crecimiento, en particular la capacidad de preparar películas delgadas parcialmente cristalizadas que aparecen como una mezcla de nanocristalitos incrustados en un tejido amorfo. Se revisan las consecuencias de las propiedades de los semiconductores en el comportamiento de las células solares. Las propiedades ópticas del silicio amorfo y nanocristalino son complementarias. Por tanto, el proceso de plasma se adapta especialmente bien a la preparación de multijunturas, con eficiencias de conversión de alrededor del 13-15 %. Además, los procesos de plasma permiten preparar células solares en grandes áreas sobre vidrio o sustratos flexibles. Finalmente, se demuestra que los materiales de silicio cristalino y amorfo se pueden combinar en células solares de heterojunturas con una alta eficiencia de conversión (alrededor del 25 %). **Este curso es parte de una serie de 3** Energía solar fotovoltaica (https://www.coursera.org/learn/photovoltaic-solar-energy/) Física de células solares de silicio (https://www.coursera.org/learn/physics-silicon-solar-cells/) Células solares de película delgada de silicio"
"Finanzas para directivos","Cuando se trata de números, siempre hay más de lo que se ve a simple vista. En finanzas operativas, aprenderá a leer la ""historia"" que el balance y la cuenta de resultados cuentan sobre las operaciones de la empresa. Los conocimientos que obtenga de esta ""historia financiera"" se convertirán en una herramienta para la toma de decisiones a corto plazo en el nivel de alta dirección en relación con los activos corrientes, los pasivos corrientes y la gestión del capital de trabajo. Por último, al final del curso, comprenderá las consecuencias financieras de las decisiones de gestión sobre las operaciones, el marketing, etc."
"Recuperar datos mediante consultas SQL de una sola tabla","En este curso aprenderá a recuperar datos de una tabla de base de datos relacional de manera eficaz utilizando el lenguaje SQL. Todos sabemos que la mayoría de los sistemas informáticos dependen de al menos una base de datos para almacenar datos. Su información fiscal se almacena en la base de datos que utiliza el Servicio de Impuestos Internos. Su teléfono almacena sus contactos: nombres, direcciones, direcciones de correo electrónico y números de teléfono en una base de datos. Si compra en línea, está viendo fotos, descripciones y precios de productos que se almacenan en una base de datos. Los diseñadores de bases de datos hacen todo lo posible para diseñar bases de datos de modo que los datos se puedan almacenar de forma segura y en un formato organizado. Es importante señalar que la razón principal por la que hacen todo ese trabajo es para que podamos recuperar los datos nuevamente cuando los necesitemos. Eso se llama ""recuperación de datos"". Los datos se recuperan o leen de una base de datos relacional utilizando un lenguaje llamado SQL para consultar (o cuestionar) la base de datos. SQL se conoce como ""el lenguaje de las bases de datos relacionales"". Puede utilizarse por sí solo o integrado en programas para recuperar datos. Una vez que se recuperan los datos, se pueden mostrar en una página web o una aplicación de PC, o incluso imprimirse en papel. Practicará la escritura de consultas SQL con SQLiteStudio. La próxima vez que se conecte a Internet y busque el plato especial del día en su restaurante favorito, puede pensar en el hecho de que es probable que se haya utilizado una consulta SQL en segundo plano para obtener esos datos y mostrarlos en su pantalla. Al final de este curso, ¡incluso tendrá una idea bastante clara de cómo podría haber sido la consulta! Nota: Este curso funciona mejor para los alumnos que se encuentran en la región de América del Norte. Actualmente estamos trabajando para brindar la misma experiencia en otras regiones."
"Creación de un marco de automatización de pruebas con Selenium y TestNG","Selenium es una de las herramientas de automatización de pruebas de interfaz de usuario funcional más utilizadas y TestNG es un marco de pruebas brillante. Los marcos de automatización de pruebas son un conjunto de pautas o reglas para escribir casos de prueba. Pueden reducir los costos de mantenimiento y los esfuerzos de prueba y proporcionarán un mayor retorno de la inversión (ROI) para los equipos que buscan optimizar sus procesos. Las pautas de prueba incluyen estándares de codificación, gestión de datos de prueba, definición de repositorios de objetos, pautas de informes y estrategias de registro. A través de la experiencia práctica, aprenderá conceptos sobre cómo escribir código reutilizable y estructurado que sea fácil de mantener y comprender, cómo crear clases o utilidades auxiliares, cómo escribir casos de prueba efectivos y cómo generar informes y registros."
"Proyecto final sobre cómo hacer negocios en China","El proyecto final de Doing Business in China le permite aplicar sus habilidades a desafíos comerciales reales. Utilizará sus habilidades comerciales recién adquiridas para identificar, explorar y evaluar una oportunidad real que involucre productos. En este proyecto final, usted es el consultor de negocios que trabaja para una empresa de ""bienestar"" bien establecida. El director ejecutivo le ha asignado una tarea. Tiene que traer un nuevo producto extranjero a China."
"Lenguajes de programación","https://www.coursera.org/learn/programming-languages"
"Los roles y responsabilidades de las juntas directivas de organizaciones sin fines de lucro dentro del proceso de gobernanza","Este curso ofrece una visión más profunda de los roles y responsabilidades de las juntas directivas en la gobernanza de las organizaciones sin fines de lucro. Si bien el curso se desarrolló teniendo en cuenta la cultura norteamericana, somos conscientes de que en otras partes del mundo la naturaleza de los roles y responsabilidades de las juntas directivas puede no ser la misma. Sin embargo, esperamos que gran parte del contenido del curso siga siendo de valor para quienes viven en otras partes del mundo. Para obtener más información sobre este curso, mire el video de descripción general copiando y pegando el siguiente enlace en su navegador web: https://goo.gl/SXZEZS. Palabras clave: Organizaciones sin fines de lucro"
"Comunicación en ruso para los negocios. Parte 3","El ruso se considera uno de los idiomas más difíciles del mundo y muchos estudiantes tienen dificultades para dominar su gramática y pronunciación. Este curso está dirigido a quienes desean trabajar en Rusia, hacer negocios con socios rusos o estudiar carreras relacionadas con los negocios en ruso. En tres unidades de este curso intensivo, los estudiantes aprenderán a discutir términos de cooperación y precios, describir la situación del mercado y hacer una presentación exitosa de sus empresas, bienes o servicios. El curso es la tercera parte de la serie de cursos de Comunicación en ruso comercial que ofrece la Universidad Estatal de San Petersburgo. Esta parte presenta temas gramaticales como numerales y sustantivos en caso genitivo, caso genitivo con preposiciones, verbos de movimiento con prefijos no emparejados y declinación de adjetivos. Los estudiantes pueden practicar sus habilidades y ponerse a prueba en la sección de pruebas de gramática. El curso proporciona un vocabulario extenso con más de 100 palabras nuevas y frases conversacionales que los estudiantes pueden usar en su comunicación diaria sobre temas profesionales o informales. Cada unidad del curso contiene diálogos, que son extremadamente útiles para aquellos que quieren escuchar el habla rusa original y acostumbrarse al ritmo y la entonación de la lengua rusa. Se proporcionan guiones y ejercicios para todos los diálogos del curso. Al final del curso, los estudiantes tendrán la oportunidad de utilizar el material aprendido y evaluar su progreso mientras preparan el trabajo final. Este curso está dirigido a aquellos que ya han alcanzado el nivel A2-A2+ en ruso."
